municipal_code,municipal_name,designation,admin_region
46005,Abercorn,Village,Monteregie (16)
48028,Acton Vale,Ville,Monteregie (16)
31056,Adstock,Municipality,Chaudi̬re-Appalaches (12)
98030,Aguanish,Municipality,C̫te-Nord (09)
99125,Akulivik,Village nordique,Nord-du-Quebec (10)
92030,Albanel,Municipality,Saguenay--Lac-Saint-Jean (02)
7025,Albertville,Municipality,Bas-Saint-Laurent (01)
84050,Alleyn-et-Cawood,Municipality,Outaouais (07)
93042,Alma,Ville,Saguenay--Lac-Saint-Jean (02)
78070,Amherst,Canton,Laurentides (15)
88055,Amos,Ville,Abitibi-Temiscamingue (08)
7047,Amqui,Ville,Bas-Saint-Laurent (01)
55008,Ange-Gardien,Municipality,Monteregie (16)
85080,Angliers,Village,Abitibi-Temiscamingue (08)
19037,Armagh,Municipality,Chaudi̬re-Appalaches (12)
78060,Arundel,Canton,Laurentides (15)
40043,Asbestos,Ville,Estrie (05)
41055,Ascot Corner,Municipality,Estrie (05)
50013,Aston-Jonction,Municipality,Centre-du-Quebec (17)
13045,Auclair,Municipality,Bas-Saint-Laurent (01)
30055,Audet,Municipality,Estrie (05)
83090,Aumond,Canton,Outaouais (07)
99105,Aupaluk,Village nordique,Nord-du-Quebec (10)
45085,Austin,Municipality,Estrie (05)
87050,Authier,Municipality,Abitibi-Temiscamingue (08)
87100,Authier-Nord,Municipality,Abitibi-Temiscamingue (08)
45035,Ayer's Cliff,Village,Estrie (05)
96020,Baie-Comeau,Ville,C̫te-Nord (09)
8080,Baie-des-Sables,Municipality,Bas-Saint-Laurent (01)
50100,Baie-du-Febvre,Municipality,Centre-du-Quebec (17)
66112,Baie-D'Urfe,Ville,Montreal (06)
98035,Baie-Johan-Beetz,Municipality,C̫te-Nord (09)
15065,Baie-Sainte-Catherine,Municipality,Capitale-Nationale (03)
16013,Baie-Saint-Paul,Ville,Capitale-Nationale (03)
96005,Baie-Trinite,Village,C̫te-Nord (09)
78050,Barkmere,Ville,Laurentides (15)
44045,Barnston-Ouest,Municipality,Estrie (05)
88022,Barraute,Municipality,Abitibi-Temiscamingue (08)
37210,Batiscan,Municipality,Mauricie (04)
66107,Beaconsfield,Ville,Montreal (06)
85020,Bearn,Municipality,Abitibi-Temiscamingue (08)
27028,Beauceville,Ville,Chaudi̬re-Appalaches (12)
70022,Beauharnois,Ville,Monteregie (16)
31008,Beaulac-Garthby,Municipality,Chaudi̬re-Appalaches (12)
19105,Beaumont,Municipality,Chaudi̬re-Appalaches (12)
21025,Beaupre,Ville,Capitale-Nationale (03)
38010,Becancour,Ville,Centre-du-Quebec (17)
46035,Bedford,Ville,Monteregie (16)
46040,Bedford,Canton,Monteregie (16)
94250,Begin,Municipality,Saguenay--Lac-Saint-Jean (02)
89050,Belcourt,Municipality,Abitibi-Temiscamingue (08)
85065,Belleterre,Ville,Abitibi-Temiscamingue (08)
57040,Beloeil,Ville,Monteregie (16)
88070,Berry,Municipality,Abitibi-Temiscamingue (08)
18065,Berthier-sur-Mer,Municipality,Chaudi̬re-Appalaches (12)
52035,Berthierville,Ville,Lanaudi̬re (14)
48005,Bethanie,Municipality,Monteregie (16)
13055,Biencourt,Municipality,Bas-Saint-Laurent (01)
73015,Blainville,Ville,Laurentides (15)
98005,Blanc-Sablon,Municipality,C̫te-Nord (09)
83045,Blue Sea,Municipality,Outaouais (07)
80115,Boileau,Municipality,Outaouais (07)
73005,Boisbriand,Ville,Laurentides (15)
21045,Boischatel,Municipality,Capitale-Nationale (03)
73030,Bois-des-Filion,Ville,Laurentides (15)
83085,Bois-Franc,Municipality,Outaouais (07)
45095,Bolton-Est,Municipality,Estrie (05)
46065,Bolton-Ouest,Municipality,Monteregie (16)
5045,Bonaventure,Ville,Gaspesie--�_les-de-la-Madeleine (11)
98010,Bonne-Esperance,Municipality,C̫te-Nord (09)
42040,Bonsecours,Municipality,Estrie (05)
58033,Boucherville,Ville,Monteregie (16)
83050,Bouchette,Municipality,Outaouais (07)
80145,Bowman,Municipality,Outaouais (07)
78075,Brebeuf,Paroisse,Laurentides (15)
46090,Brigham,Municipality,Monteregie (16)
84005,Bristol,Municipality,Outaouais (07)
46070,Brome,Village,Monteregie (16)
46078,Bromont,Ville,Monteregie (16)
58007,Brossard,Ville,Monteregie (16)
76043,Brownsburg-Chatham,Ville,Laurentides (15)
84025,Bryson,Municipality,Outaouais (07)
41070,Bury,Municipality,Estrie (05)
12057,Cacouna,Municipality,Bas-Saint-Laurent (01)
59030,Calixa-Lavallee,Municipality,Monteregie (16)
84030,Campbell's Bay,Municipality,Outaouais (07)
67020,Candiac,Ville,Monteregie (16)
82020,Cantley,Municipality,Outaouais (07)
4047,Cap-Chat,Ville,Gaspesie--�_les-de-la-Madeleine (11)
5060,Caplan,Municipality,Gaspesie--�_les-de-la-Madeleine (11)
18045,Cap-Saint-Ignace,Municipality,Chaudi̬re-Appalaches (12)
34030,Cap-Sante,Ville,Capitale-Nationale (03)
57010,Carignan,Ville,Monteregie (16)
6013,Carleton-sur-Mer,Ville,Gaspesie--�_les-de-la-Madeleine (11)
5077,Cascapedia--Saint-Jules,Municipality,Gaspesie--�_les-de-la-Madeleine (11)
7018,Causapscal,Ville,Bas-Saint-Laurent (01)
83040,Cayamant,Municipality,Outaouais (07)
57005,Chambly,Ville,Monteregie (16)
91020,Chambord,Municipality,Saguenay--Lac-Saint-Jean (02)
37220,Champlain,Municipality,Mauricie (04)
88005,Champneuf,Municipality,Abitibi-Temiscamingue (08)
2028,Chandler,Ville,Gaspesie--�_les-de-la-Madeleine (11)
99020,Chapais,Ville,Nord-du-Quebec (10)
51080,Charette,Municipality,Mauricie (04)
60005,Charlemagne,Ville,Lanaudi̬re (14)
41020,Chartierville,Municipality,Estrie (05)
67050,Ch̢teauguay,Ville,Monteregie (16)
21035,Ch̢teau-Richer,Ville,Capitale-Nationale (03)
87095,Chazel,Municipality,Abitibi-Temiscamingue (08)
82025,Chelsea,Municipality,Outaouais (07)
80103,Cheneville,Municipality,Outaouais (07)
62047,Chertsey,Municipality,Lanaudi̬re (14)
39030,Chesterville,Municipality,Centre-du-Quebec (17)
99025,Chibougamau,Ville,Nord-du-Quebec (10)
84090,Chichester,Canton,Outaouais (07)
99055,Chisasibi,Village cri (Terre 1-B),Nord-du-Quebec (10)
96035,Chute-aux-Outardes,Village,C̫te-Nord (09)
79065,Chute-Saint-Philippe,Municipality,Laurentides (15)
84015,Clarendon,Municipality,Outaouais (07)
15035,Clermont,Ville,Capitale-Nationale (03)
87110,Clermont,Canton,Abitibi-Temiscamingue (08)
87075,Clerval,Municipality,Abitibi-Temiscamingue (08)
42110,Cleveland,Canton,Estrie (05)
3010,Cloridorme,Canton,Gaspesie--�_les-de-la-Madeleine (11)
44037,Coaticook,Ville,Estrie (05)
95050,Colombier,Municipality,C̫te-Nord (09)
44071,Compton,Municipality,Estrie (05)
59035,Contrecoeur,Ville,Monteregie (16)
41038,Cookshire-Eaton,Ville,Estrie (05)
71040,Coteau-du-Lac,Ville,Monteregie (16)
98015,C̫te-Nord-du-Golfe-du-Saint-Laurent,Municipality,C̫te-Nord (09)
