municipal_code,municipal_name,municipal_status,date_incorporated
1023,Les ëles-de-la-Madeleine,M-Municipalit_,20020101
1042,Grosse-ële,M-Municipalit_,20060101
2005,Perc_,V-Ville,19710101
2010,Sainte-Th_rèse-de-Gasp_,M-Municipalit_,19300906
2015,Grande-Rivière,V-Ville,19740921
2028,Chandler,V-Ville,20010627
2047,Port-Daniel--Gascons,M-Municipalit_,20010117
2902,Mont-Alexandre,NO-Territoire non organis_,18550701
3005,Gasp_,V-Ville,19710101
3010,Cloridorme,CT-Municipalit_ de canton,18850101
3015,Petite-Vall_e,M-Municipalit_,19570101
3020,Grande-Vall_e,M-Municipalit_,19270915
3025,Murdochville,V-Ville,19530715
3902,Rivière-Saint-Jean,NO-Territoire non organis_,18550701
3904,Collines-du-Basque,NO-Territoire non organis_,18550701
4005,Sainte-Madeleine-de-la-Rivière-Madeleine,M-Municipalit_,19160101
4010,Saint-Maxime-du-Mont-Louis,M-Municipalit_,18840610
4015,Mont-Saint-Pierre,VL-Municipalit_ de village,19470101
4020,Rivière-ˆ-Claude,M-Municipalit_,19231218
4025,Marsoui,VL-Municipalit_ de village,19500101
4030,La Martre,M-Municipalit_,19231218
4037,Sainte-Anne-des-Monts,V-Ville,20000202
4047,Cap-Chat,V-Ville,20000315
4902,Mont-Albert,NO-Territoire non organis_,18550701
4904,Coul_e-des-Adolphe,NO-Territoire non organis_,18550701
5010,Shigawake,M-Municipalit_,19241215
5015,Saint-Godefroi,CT-Municipalit_ de canton,19140101
5020,Hope Town,M-Municipalit_,19361121
5025,Hope,CT-Municipalit_ de canton,18550701
5032,Pasp_biac,V-Ville,19970820
5040,New Carlisle,M-Municipalit_,18770201
5045,Bonaventure,V-Ville,18840101
5050,Saint-Elz_ar,M-Municipalit_,19650101
5055,Saint-Sim_on,P-Municipalit_ de paroisse,19150101
5060,Caplan,M-Municipalit_,18750101
5065,Saint-Alphonse,M-Municipalit_,19030101
5070,New Richmond,V-Ville,18550701
5077,Cascap_dia--Saint-Jules,M-Municipalit_,19990602
5902,Rivière-Bonaventure,NO-Territoire non organis_,18550701
6005,Maria,M-Municipalit_,18550701
6013,Carleton-sur-Mer,V-Ville,20001004
6020,Nouvelle,M-Municipalit_,19080101
6025,Escuminac,M-Municipalit_,19080101
6030,Pointe-ˆ-la-Croix,M-Municipalit_,19830507
6035,Ristigouche-Partie-Sud-Est,CT-Municipalit_ de canton,18550701
6040,Saint-Andr_-de-Restigouche,M-Municipalit_,19070101
6045,Matap_dia,M-Municipalit_,19060101
6050,Saint-Alexis-de-Matap_dia,M-Municipalit_,18550701
6055,Saint-François-d'Assise,M-Municipalit_,19260903
6060,L'Ascension-de-Patap_dia,M-Municipalit_,19680101
6802,Gesgapegiag,R-R_serve indienne,18550701
6804,Listuguj,R-R_serve indienne,18550701
6902,Rivière-Nouvelle,NO-Territoire non organis_,18550701
6904,Ruisseau-Ferguson,NO-Territoire non organis_,18550701
7005,Sainte-Marguerite-Marie,M-Municipalit_,19570101
7010,Sainte-Florence,M-Municipalit_,19120101
7018,Causapscal,V-Ville,19971231
7025,Albertville,M-Municipalit_,19301127
7030,Saint-L_on-le-Grand,P-Municipalit_ de paroisse,19040101
7035,Saint-Z_non-du-Lac-Humqui,P-Municipalit_ de paroisse,19200428
7040,Sainte-Irène,P-Municipalit_ de paroisse,19530101
7047,Amqui,V-Ville,19910116
7057,Lac-au-Saumon,M-Municipalit_,19971217
7065,Saint-Alexandre-des-Lacs,P-Municipalit_ de paroisse,19650101
7070,Saint-Tharcisius,P-Municipalit_ de paroisse,19371204
7075,Saint-Vianney,M-Municipalit_,19260827
7080,Val-Brillant,M-Municipalit_,19861220
7085,Sayabec,M-Municipalit_,19821224
7090,Saint-Cl_ophas,P-Municipalit_ de paroisse,19210519
7095,Saint-Mo•se,P-Municipalit_ de paroisse,18780101
7100,Saint-No‘l,VL-Municipalit_ de village,19061002
7105,Saint-Damase,P-Municipalit_ de paroisse,18860101
7902,Routhierville,NO-Territoire non organis_,18550701
7904,Rivière-Vaseuse,NO-Territoire non organis_,18550701
7906,Rivière-Patap_dia-Est,NO-Territoire non organis_,18550701
7908,Lac-Casault,NO-Territoire non organis_,18550701
7910,Ruisseau-des-Mineurs,NO-Territoire non organis_,18550701
7912,Lac-Alfred,NO-Territoire non organis_,18550701
7914,Lac-Matap_dia,NO-Territoire non organis_,18550701
8005,Les M_chins,M-Municipalit_,19821127
8010,Saint-Jean-de-Cherbourg,P-Municipalit_ de paroisse,19540501
8015,Grosses-Roches,M-Municipalit_,19390819
8023,Sainte-F_licit_,M-Municipalit_,19960110
8030,Saint-Adelme,P-Municipalit_ de paroisse,19330909
8035,Saint-Ren_-de-Matane,M-Municipalit_,19821218
8040,Sainte-Paule,M-Municipalit_,19680101
8053,Matane,V-Ville,20010926
8065,Saint-L_andre,P-Municipalit_ de paroisse,19130101
8073,Saint-Ulric,M-Municipalit_,20000112
8080,Baie-des-Sables,M-Municipalit_,18590101
8902,Rivière-Bonjour,NO-Territoire non organis_,18550701
9005,La R_demption,P-Municipalit_ de paroisse,19560101
9010,Saint-Charles-Garnier,P-Municipalit_ de paroisse,19660101
9015,Les Hauteurs,M-Municipalit_,19181107
9020,Sainte-Jeanne-d'Arc,P-Municipalit_ de paroisse,19220130
9025,Saint-Gabriel-de-Rimouski,M-Municipalit_,19890107
9030,Saint-Donat,P-Municipalit_ de paroisse,18690310
9035,Sainte-Angèle-de-M_rici,M-Municipalit_,19890426
9040,Padoue,M-Municipalit_,19120101
9048,M_tis-sur-Mer,V-Ville,20020704
9055,Saint-Octave-de-M_tis,P-Municipalit_ de paroisse,19311024
9060,Grand-M_tis,M-Municipalit_,18550913
9065,Price,VL-Municipalit_ de village,19260303
9070,Saint-Joseph-de-Lepage,P-Municipalit_ de paroisse,18730929
9077,Mont-Joli,V-Ville,20010613
9085,Sainte-Flavie,P-Municipalit_ de paroisse,18550701
9092,Sainte-Luce,M-Municipalit_,20010829
9902,Lac-des-Eaux-Mortes,NO-Territoire non organis_,18550701
9904,Lac-ˆ-la-Croix,NO-Territoire non organis_,18550701
10005,Esprit-Saint,M-Municipalit_,19720513
10010,La Trinit_-des-Monts,P-Municipalit_ de paroisse,19650101
10015,Saint-Narcisse-de-Rimouski,P-Municipalit_ de paroisse,19220213
10025,Saint-Marcellin,P-Municipalit_ de paroisse,19241119
10030,Saint-Anaclet-de-Lessard,P-Municipalit_ de paroisse,18590508
10043,Rimouski,V-Ville,20020101
10060,Saint-Val_rien,P-Municipalit_ de paroisse,18850619
10070,Saint-Fabien,P-Municipalit_ de paroisse,18550701
10075,Saint-Eugène-de-Ladrière,P-Municipalit_ de paroisse,19620101
10902,Lac-Huron,NO-Territoire non organis_,18550701
11005,Saint-Cl_ment,M-Municipalit_,18850101
11010,Saint-Jean-de-Dieu,M-Municipalit_,18650101
11015,Sainte-Rita,M-Municipalit_,19480101
11020,Saint-Guy,M-Municipalit_,19580101
11025,Saint-M_dard,M-Municipalit_,19490101
11030,Sainte-Françoise,P-Municipalit_ de paroisse,18731206
11035,Saint-ƒloi,P-Municipalit_ de paroisse,18550701
11040,Trois-Pistoles,V-Ville,19160309
11045,Notre-Dame-des-Neiges,M-Municipalit_,18550701
11050,Saint-Mathieu-de-Rioux,P-Municipalit_ de paroisse,18650818
