"id","area","pop","crimes/mo"
1,22237,197385,339
2,98712,276368,396.833333333333
3,18797,729997,917.083333333333
4,35860,266112,501
5,10212,319004,451.583333333333
6,499,1942044,1018.5
7,30808,382604,262.166666666667
8,57736,146717,226.833333333333
9,247655,92518,129.333333333333
10,747191,44561,55
11,20318,90311,139.5
12,15083,420082,438.583333333333
13,247,422993,541.833333333333
14,12423,494796,597.166666666667
15,20779,589400,823.25
16,11132,1507070,1790.83333333333
17,6930,242399,208.166666666667
